TEFF,5671,teff,
TIMING,0,timing,
DOGENOHM,chromvpsnom,do_genohm,
ETA_AMBO,1,eta_ambo,
ETAHALLO,1,eta_hallo,
SCL_ETA,1,scl_eta,
MAX_ETAA,13,max_eta_a,
MTS_MAXN,1,mts_max_n,
GAUSSM,1,gaussm,
NITER,1,niter,
ECDT,1.5E-07,ecdt,
CAAMBMAX,0,ca_amb_max,
CAHALMAX,0,ca_hall_max,
COLTABLE,coltabvk.dat,coltablefile,
EXTDYN_T,0.01,extdyn_time,
EXT_AMB,1,ext_amb,
ETA4,0,eta4,
SPITZER,impl,spitzer,
DBSPITZ,0,debug_spitzer,
INFSPITZ,1,info_spitzer,
SPITZAMP,1,spitzer_amp,
THETA_MG,0.95,theta_mg,
DTGERR,1E-06,dtgerr,
NTEST_MG,10,ntest_mg,
TGB0,500000,tgb0,
TGB1,10000,tgb1,
TAU_TG,0.005,tau_tg,
FXGRADTG,0,fix_grad_tg,
NITERMG0,2,niter_mg[0],
NITERMG1,20,niter_mg[1],
NITERMG2,10,niter_mg[2],
NITERMG3,10,niter_mg[3],
NITERMG4,30,niter_mg[4],
BMIN,1E-05,bmin,
DOGENRAD,1,do_genrad,
GENRADFI,radtab.dat,genradfile,
DBGENRAD,0,debug_genrad,
INCRDET,0,incrad_detail,
INCRQUAD,3,incrad_quad,
DTINCRAD,0.001,dtincrad,
DBINCRAD,0,debug_incrad,
BCTYPLOW,mdgc,bctypelower,
BCLDEBUG,0,bcldebug,
TAU_BCL,1,tau_bcl,
TAUEEBCL,100,tau_ee_bcl,
TAUD2BCL,100,tau_d2_bcl,
TAUD5BCL,100000,tau_d5_bcl,
TAUD6BCL,100000,tau_d6_bcl,
TAUD7BCL,100000,tau_d7_bcl,
TAUD8BCL,100000,tau_d8_bcl,
S0,18.655,s0,
E0,0.0700428,e0,
R0,0.0186682,r0,
CS0,0.654463,cs0,
P0,0.0048102,p0,
NSMOOBCL,100,nsmooth_bcl,
NEXTPBCL,1,nextrap_bcl,
NAVERBCL,-1,naver_bcl,
NSMBXYBL,1000,nsmoothbxy_bcl,
NCLEABCL,1000,nclean_bcl,
NCLEALBL,-4,nclean_lbl,
NCLEAUBL,7,nclean_ubl,
BCTYPUP,ds,bctypeupper,
T_BDRY,0.01,t_bdry,
RBOT,426.667,rbot,
EBOT,4996.82,ebot,
NCLEABCU,-1,nclean_bcu,
NSMBXYBU,0,nsmoothbxy_bcu,
PB_SPOT,0,pb_spot,
SPOTUP,0,spot_upper,
BETA_LIM,100,beta_lim,
BX0,0.25,bx0,
BY0,0,by0,
BZ0,0,bz0,
X0_BCU,0,x0_bcu,
X1_BCU,16,x1_bcu,
Y0_BCU,0,y0_bcu,
Y1_BCU,16,y1_bcu,
UZ_BCU,0.002,uz_bcu,
STRTB,n,strtb,
COMMENT,$Id: params.f90,v 1.56 2014/09/30 08:47:37 matsc Exp $,
COMMENT,$Id: mpi.f90,v 1.85 2014/10/14 14:20:35 boris Exp $,
COMMENT,$Id: solar.f90,v 1.16 2014/04/28 11:30:06 boris Exp $,
COMMENT,$Id: stagger_mesh_mpi.f90,v 1.74 2015/03/06 08:20:32 boris E,
COMMENT,$Id: hyman_mpi.f90,v 1.38 2015/01/14 13:39:45 mikolajs Exp $,
COMMENT,$Id: mhd_mpi.f90,v 1.95 2014/09/04 17:21:49 boris Exp $,
COMMENT,$Id: io.f90,v 1.132 2015/01/05 11:00:24 boris Exp $,
COMMENT,$Id: math_mpi.f90,v 1.86 2015/02/24 10:12:22 mikolajs Exp $,
COMMENT,$Id: quench3_mpi.f90,v 1.16 2014/04/01 13:45:46 boris Exp $,
COMMENT,$Id: square_gas_mpi.f90,v 1.65 2015/01/08 11:16:38 boris Exp $,
COMMENT,$Id: radiation_GS_mpi.f90,v 1.73 2014/11/14 08:46:42 thomaspg Exp $,
COMMENT,$Id: timing_mpi.f90,v 1.15 2014/03/20 21:45:44 juanms Exp $,
COMMENT,$Id: spitzer_conductivity_mpi.f90,v 1.84 2014/11/11 08:41:32 boris Exp $,
COMMENT,$Id: genrad_mpi.f90,v 1.47 2015/03/04 09:25:34 thomaspg Exp $,
COMMENT,$Id: bc_lower_magnetic.f90,v 1.78 2015/04/10 22:52:01 juanms Exp $,
COMMENT,$Id: bc_upper_damp.f90,v 1.39 2015/02/04 17:59:01 juanms Exp $,
COMMENT,$Id: bc_upper_emer.f90,v 1.13 2015/01/24 22:21:46 juanms Exp $,
COMMENT,Non-uniform z-coordinate,,
DATE,2017-05-16,Creation UTC (CCCC-MM-DD) date of FITS header,
COMMENT,FITS (Flexible Image Transport System) format is defined in 'Astronomy,,
COMMENT,and Astrophysics', volume 376, page 359; bibcode 2001A&A...376..359H
